flaeche,last_kW,geometry,nodes,building,building:levels,power,ways,Erzeugungsleistung,Netzanschluss
3008.2805573926776,20.606721818139842,"POLYGON ((506866.03943154647 5407541.8090063995, 506883.4146968362 5407577.246575332, 506909.2487732628 5407580.635549423, 506910.33480947453 5407574.978749691, 506895.78289354127 5407565.678750962, 506901.9055373719 5407559.149988205, 506909.9124749115 5407554.41326912, 506919.5000197584 5407553.669232018, 506928.2763839675 5407555.936694, 506935.7351614604 5407561.13720937, 506939.6550419643 5407566.978077887, 506942.5089801451 5407574.084870875, 506943.2224976179 5407578.787907486, 506942.563580544 5407583.311379784, 506940.2369459213 5407588.99998098, 506936.4138990805 5407593.864127043, 506931.82396247296 5407589.712090779, 506927.97413919686 5407592.497481065, 506933.50930497475 5407603.920678102, 506938.919389338 5407609.6522339, 506933.8492281705 5407613.9256749945, 506930.0375638765 5407609.630095315, 506915.51679254917 5407616.782050855, 506910.78126309963 5407605.715578584, 506905.53909104585 5407594.759646359, 506900.3865131439 5407594.453143833, 506871.0492715959 5407592.571704142, 506850.4332167506 5407548.1149662165, 506866.03943154647 5407541.8090063995))","[255619295, 255619296, 255619297, 255619298, 255619299, 255619300, 255619301, 255619302, 255619303, 255619304, 255619305, 255619306, 1417050522, 255619307, 1417050523, 255619315, 255619337, 255619338, 1417050532, 255619339, 1417050541, 1417050536, 255619340, 1417050533, 255619341, 1417050524, 255619342, 255619343, 255619295]",yes,1,,,0.0,
1706.1042778638482,18.08470534535679,"POLYGON ((507264.7580666121 5407570.570517235, 507264.26517422165 5407577.050618372, 507259.97145539656 5407576.722668475, 507258.8811277923 5407591.06114425, 507263.3729972204 5407591.411583299, 507263.29085137893 5407592.4897475075, 507258.7476001078 5407592.139241774, 507257.57503291685 5407607.633695686, 507261.64854604256 5407607.939125246, 507260.252152757 5407626.21233719, 507286.49867782055 5407628.191835652, 507287.7757824274 5407611.396928524, 507296.5466576061 5407612.064230243, 507297.5998098934 5407598.1592442235, 507288.63807763933 5407597.4805757655, 507290.53510868375 5407572.516074949, 507267.20953383343 5407570.751564042, 507264.7580666121 5407570.570517235))","[271188232, 2100715695, 2100715694, 2100715696, 2100715697, 2100715699, 2100715698, 2100715702, 2100715703, 271188233, 271188234, 271188235, 2100715704, 2100715701, 271188236, 2100715692, 7388387040, 271188232]",retail,1,,,112.73,"Niederspannung (= Hausanschluss/Haushaltsstrom),"
3635.7325559356195,24.904768008158996,"POLYGON ((506933.0849920923 5407969.531892264, 506930.6952804096 5408014.371683099, 507012.3602677546 5408018.708857236, 507012.5765828965 5408015.952310637, 507013.307425837 5408000.913006874, 507015.14563309774 5407974.947867877, 506933.0849920923 5407969.531892264))","[271209297, 271209299, 271209307, 336301072, 271209309, 1420071032, 271209297]",office,1,,,0.0,
1031.3511628799508,49.45328826009364,"POLYGON ((506958.62726825033 5407740.147532102, 506957.4900796561 5407722.026715229, 506957.25251697085 5407718.280261178, 506933.62982572 5407719.75158447, 506933.73065758485 5407721.307977103, 506928.3792125884 5407721.6459410675, 506928.2855954071 5407720.189603249, 506915.82826894824 5407720.963420742, 506917.9444395697 5407754.770394607, 506947.3882066903 5407752.928289282, 506946.92762620247 5407745.535445586, 506930.19802209316 5407746.581825848, 506929.29837896646 5407732.163002843, 506934.99483106163 5407731.803235575, 506935.06679820525 5407732.959409354, 506945.5274137284 5407732.305430624, 506946.0672054401 5407740.932270368, 506958.62726825033 5407740.147532102))","[473066153, 271209402, 271209405, 9386330586, 9386330584, 9386330585, 9386330583, 271209337, 271209339, 9386330594, 9386330593, 9386330591, 9386330592, 9386330587, 9386330588, 9386330590, 9386330589, 473066153]",office,7,,,0.0,
1554.3812162911586,10.647511331594437,"POLYGON ((507059.2549620903 5408018.334379926, 507059.0784494519 5408024.425835762, 507066.16810937395 5408024.91279453, 507105.52865324746 5408027.241535498, 507105.77138796105 5408021.061235593, 507105.97127181204 5408013.947120258, 507074.7793782598 5408012.017781286, 507074.9682091195 5408007.804979781, 507078.41773681797 5408007.964975837, 507080.6730666118 5407954.265463277, 507074.9187738585 5407954.102546973, 507067.57955218386 5407953.548564454, 507066.44830966945 5407977.469198896, 507061.13448944094 5407977.262389037, 507059.2549620903 5408018.334379926))","[567659996, 567653709, 9878823887, 567653712, 567653715, 567653718, 567653721, 9878823868, 9878823869, 567653724, 4822177697, 567653726, 9878823871, 9878823870, 567659996]",office,1,,,0.0,
2611.4714818938824,17.888579650973096,"POLYGON ((507119.78423398116 5407956.838543719, 507116.18587437435 5408021.641417037, 507115.832747796 5408028.043899975, 507129.2783643121 5408028.783594058, 507129.4286784298 5408026.026967594, 507132.3277071869 5408026.186294523, 507132.1923692669 5408028.7094997745, 507135.95743764477 5408028.914399018, 507136.1002164641 5408026.313389939, 507139.3515276343 5408026.495402885, 507139.20133647125 5408029.151983427, 507152.6909862203 5408029.891790132, 507156.6353732591 5407958.86430882, 507126.4263962362 5407957.202730272, 507119.78423398116 5407956.838543719))","[271209455, 336301075, 271209457, 271209459, 271209462, 9878823867, 9878823866, 9878823865, 9878823864, 271209464, 271209467, 271209470, 271209476, 9878823863, 271209455]",office,1,,,0.0,
3840.6120728149453,26.308192698782378,"POLYGON ((506869.89564829704 5407790.5497314, 506870.3439975196 5407796.030568035, 506874.1906160055 5407795.712929431, 506879.52741594496 5407795.285966076, 506878.6670656641 5407784.624473469, 506883.1156382084 5407784.263117298, 506882.93487355835 5407782.039655147, 506882.5443666421 5407777.281441667, 506878.02972729853 5407777.642716975, 506876.3088888846 5407756.419778758, 506873.50334836676 5407721.911652692, 506877.31331696897 5407721.593971081, 506877.2127430328 5407719.815255893, 506876.7565888013 5407714.712360423, 506872.69703423476 5407715.040851625, 506872.30651372444 5407710.282639375, 506854.31333093566 5407712.116942941, 506824.2892583453 5407714.1589217605, 506828.24486158835 5407762.852694278, 506832.9503673812 5407762.480495943, 506834.45441416133 5407781.0463843625, 506830.6371620383 5407781.352970034, 506831.2373828591 5407788.723742559, 506834.5995012509 5407788.449949158, 506836.2071524898 5407788.3185215, 506836.60483415757 5407793.243483478, 506869.89564829704 5407790.5497314))","[283687048, 693136784, 283687062, 693136824, 283687052, 693136857, 1420047729, 693136802, 693136822, 693136875, 693136792, 693136863, 1420047656, 693136855, 283687053, 693136831, 283687059, 283687055, 693136839, 693136873, 693136806, 693136786, 693136827, 1420047738, 693136812, 693136851, 283687048]",yes,1,,,0.0,
933.1097554917023,6.391801825118161,"POLYGON ((506940.78939235315 5407817.91649611, 507000.6082798328 5407820.258828809, 507001.0976847459 5407804.585602282, 506947.0991710286 5407802.383892813, 506944.1551514777 5407802.891578281, 506941.605937764 5407804.655886147, 506940.78939235315 5407817.91649611))","[313894425, 313894426, 313894429, 313894430, 1420097898, 1420097906, 313894425]",yes,1,,,0.0,
1987.0529494663017,13.611312703844167,"POLYGON ((506677.504277413 5407666.926724565, 506688.17119198776 5407665.705584528, 506732.94584343553 5407660.590326283, 506731.34848077875 5407646.059535601, 506728.316609466 5407646.322672693, 506727.0813289702 5407641.974753436, 506729.7774891124 5407640.09936317, 506725.312450455 5407635.7586716125, 506720.19739125995 5407634.796524868, 506714.977000814 5407635.968565491, 506710.4360456765 5407639.820429674, 506708.58787245356 5407644.609290156, 506708.47249611607 5407649.000048365, 506701.6675078228 5407649.425414196, 506698.68899423454 5407648.043434606, 506695.26130814804 5407647.839234974, 506694.338506322 5407646.1040030485, 506701.12241545325 5407638.775446447, 506706.70725283324 5407633.624232836, 506712.63588117977 5407629.485011467, 506719.89324055327 5407625.247348435, 506724.2189896106 5407623.351683131, 506718.27644539636 5407608.526648871, 506716.10907391156 5407610.1581238955, 506706.5169975307 5407614.782055916, 506695.7539052228 5407622.67276203, 506686.4057987829 5407632.010287129, 506678.79783140525 5407640.9719569925, 506675.4022470158 5407644.614011061, 506672.29985476565 5407648.612135513, 506671.68564495136 5407652.768858736, 506670.7070884194 5407654.690792031, 506669.2132122365 5407657.868240371, 506669.10690561694 5407660.836137369, 506670.90781414986 5407664.862349465, 506673.44525776507 5407666.788481023, 506677.504277413 5407666.926724565))","[313894731, 1420047610, 313894730, 1420047590, 313894729, 313894727, 313894725, 313894724, 313894723, 1420047586, 313894722, 313894721, 1420047594, 1420047595, 1420047592, 313894720, 313894719, 313894718, 313894717, 313894716, 313894715, 313894714, 313894713, 313894712, 313894709, 313894708, 313894707, 313894706, 1420047588, 313894732, 313894733, 1420047599, 1420047601, 1420047604, 1420047608, 313894734, 313894731]",yes,1,,,0.0,
5466.069355602484,54.660693556024846,"POLYGON ((506908.5510583522 5407503.755094055, 506913.5870315709 5407497.51402219, 506913.08198033884 5407496.3461971395, 506914.08831816714 5407495.791632578, 506915.3936362652 5407496.838169911, 506916.8766947179 5407496.6176816095, 506917.5758184905 5407495.184558203, 506916.6602356572 5407493.582693127, 506915.2727269138 5407493.703254, 506914.83346522535 5407492.757834062, 506918.5427520263 5407490.883788803, 506905.63602111995 5407462.866135838, 506932.89945887646 5407450.572037309, 506930.82231941656 5407444.455555226, 506928.9868573916 5407444.708951437, 506928.5486140614 5407442.9409335805, 506929.9369214702 5407442.186754054, 506928.36565619794 5407436.5711289635, 506813.7249175134 5407480.817120677, 506815.8678429093 5407487.256009143, 506819.03392822074 5407485.359002994, 506822.1059565471 5407494.366868139, 506827.6875453721 5407492.0837496435, 506846.1079937644 5407531.524305521, 506851.872821748 5407529.441527076, 506851.0413181268 5407531.096820287, 506850.99568075855 5407532.397358897, 506852.2644360647 5407533.332674782, 506854.2250623966 5407532.745921144, 506854.3959793107 5407531.045353288, 506855.4170269014 5407530.457447621, 506855.8413146693 5407531.647400799, 506861.1589372303 5407529.108319363, 506857.18087905704 5407522.733857854, 506875.05085917586 5407514.140766002, 506882.8335339902 5407530.602312072, 506889.66390976286 5407527.576008757, 506889.1221813222 5407526.385908215, 506889.7758397142 5407526.097693104, 506890.5017103623 5407526.776675898, 506891.89627661684 5407526.878441451, 506892.93943261827 5407526.2238727445, 506893.1171123433 5407525.001310701, 506892.0028135696 5407523.821619799, 506890.8207776529 5407523.998021123, 506890.19048364845 5407523.196878019, 506894.9061145548 5407520.73489978, 506892.18035079696 5407516.763056328, 506896.2718407229 5407514.467052364, 506908.5510583522 5407503.755094055))","[339409927, 693146256, 339409928, 1420047471, 1420047474, 1420047473, 1420047470, 1420047466, 1420047467, 1420047465, 693146167, 339409929, 339409930, 7388572962, 7388572961, 7388572960, 7388572963, 339409931, 339409932, 1420047459, 1420047458, 339409933, 339409934, 693146204, 339409935, 693146246, 1420047515, 1420047517, 1420047516, 1420047512, 1420047511, 1420047514, 339409936, 339409937, 339409938, 339409939, 693146262, 339409940, 1420047505, 1420047507, 1420047508, 1420047506, 1420047504, 1420047501, 1420047502, 1420047500, 693146239, 339409941, 339409942, 339409927]",yes,1,,,0.0,
